date,season,week,eventName,sherdogIdA,sherdogIdB,ourIdA,ourIdB,nameA,nameB,winnerSherdogId,method,round
2023-10-03,2023,9,Dana White's Contender Series - Contender Series 2023: Week 9,Murtaza-Talha-Ali-269171,Rodolfo-Bellato-266457,,157689fad4e22542,Murtaza Talha Ali,Rodolfo Bellato,Rodolfo-Bellato-266457,TKO (Punches),2
2023-10-03,2023,9,Dana White's Contender Series - Contender Series 2023: Week 9,Mauricio-Ruffy-192545,Raimond-Magomedaliev-191869,bd8ee82c2df0d588,,Mauricio Ruffy,Raimond Magomedaliev,Mauricio-Ruffy-192545,TKO (Punches),3
2023-10-03,2023,9,Dana White's Contender Series - Contender Series 2023: Week 9,Jose-Medina-251871,Magomed-Gadzhiyasulov-272659,,97c47845e7f9a88b,Jose Medina,Magomed Gadzhiyasulov,Magomed-Gadzhiyasulov-272659,Decision (Unanimous),3
2023-10-03,2023,9,Dana White's Contender Series - Contender Series 2023: Week 9,Eduardo-Torres-190429,Victor-Hugo-123631,,fca2542155e4fd20,Eduardo Torres,Victor Hugo,Victor-Hugo-123631,Submission (Kneebar),2
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Issa-Isakov-181953,MarQuel-Mederos-302655,,bb76e767e4bf0b9a,Issa Isakov,MarQuel Mederos,MarQuel-Mederos-302655,TKO (Knee and Punches),1
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Torrez-Finney-379262,Yuri-Panferov-289931,ac54fb7dcc875b59,,Torrez Finney,Yuri Panferov,Torrez-Finney-379262,Submission (Rear-Naked Choke),2
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Davi-Bittencourt-263121,Lucas-Rocha-255729,,ee66f8d0ba75975e,Davi Bittencourt,Lucas Rocha,Lucas-Rocha-255729,KO (Knee and Punches),2
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Cortavious-Romious-206845,Ramon-Taveras-332055,,9dd44108e3e1b102,Cortavious Romious,Ramon Taveras,Ramon-Taveras-332055,TKO (Punches),1
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Connor-Matthews-84660,Jair-Farias-184971,37f91d57ed109584,,Connor Matthews,Jair Farias,Connor-Matthews-84660,Decision (Unanimous),3
2023-10-10,2023,10,Dana White's Contender Series - Contender Series 2023: Week 10,Andre-Lima-201199,Rickson-Thai-Zenidim-Bueno-134695,e1601c0597a7b444,,Andre Lima,Rickson Thai Zenidim Bueno,Andre-Lima-201199,Decision (Unanimous),3
