canonicalOrg,tier,graduates,meanEloGain,shrunkEloGain,relFactor,ciLo,ciHi
JNI Promotions,tier4,2,-21.3,-2.5,0.9842,0.9835,0.9850
CWM MMA,tier4,3,-16.4,-2.8,0.9829,0.9710,0.9994
Gladiator Challenge,tier4,8,-8.0,-2.8,0.9825,0.9593,1.0073
PF,tier4,2,-23.7,-2.8,0.9825,0.9810,0.9839
FCOC,tier4,2,-24.0,-2.9,0.9823,0.9627,1.0022
MFS,tier4,2,-24.5,-2.9,0.9819,0.9817,0.9821
LFC,tier4,31,-4.3,-2.9,0.9819,0.9532,1.0126
FFC,tier4,16,-6.1,-3.2,0.9802,0.9290,1.0509
EFC Africa,tier4,2,-27.3,-3.3,0.9798,0.9788,0.9808
GCF,tier4,3,-19.7,-3.3,0.9794,0.9717,0.9871
Superior Challenge,tier4,6,-11.6,-3.3,0.9793,0.9667,0.9915
Deep,tier3,14,-7.1,-3.4,0.9787,0.9528,1.0102
Sengoku,tier4,8,-10.0,-3.5,0.9782,0.9643,0.9914
Octagon Promotion,tier4,2,-29.7,-3.5,0.9781,0.9720,0.9842
MFN,tier4,2,-33.3,-4.0,0.9754,0.9729,0.9779
PC,tier4,2,-33.9,-4.0,0.9750,0.9659,0.9842
GMC,tier4,2,-34.4,-4.1,0.9746,0.9635,0.9859
SFL,tier4,3,-24.4,-4.1,0.9745,0.9488,1.0011
TPF,tier4,14,-8.5,-4.1,0.9745,0.9557,0.9944
Square Ring Promotions,tier4,9,-10.9,-4.1,0.9744,0.9423,1.0181
CFA,tier4,7,-13.1,-4.2,0.9739,0.9577,0.9978
Combat Zone,tier4,2,-35.5,-4.2,0.9738,0.9690,0.9786
LFN,tier4,2,-35.6,-4.2,0.9737,0.9673,0.9802
BAMMA USA,tier4,5,-17.0,-4.3,0.9735,0.9636,0.9834
MFC,tier4,18,-7.8,-4.3,0.9733,0.9466,1.0013
SBC,tier4,3,-25.7,-4.3,0.9732,0.9679,0.9785
SFC,tier4,7,-13.5,-4.3,0.9732,0.9581,0.9881
HFC,tier4,3,-25.8,-4.3,0.9731,0.9627,0.9837
XFC,tier4,8,-13.6,-4.7,0.9706,0.9501,0.9895
Cage,tier4,6,-16.8,-4.8,0.9700,0.9550,0.9859
Combate,tier4,2,-41.3,-4.9,0.9696,0.9594,0.9799
RFA,tier4,19,-8.9,-5.0,0.9691,0.9417,1.0016
Venator FC,tier4,4,-23.8,-5.0,0.9687,0.9504,0.9835
CFFC,tier3,38,-7.5,-5.4,0.9667,0.9383,0.9956
TWC,tier4,5,-21.5,-5.4,0.9664,0.9446,0.9880
Fight Time Promotions,tier4,4,-26.2,-5.6,0.9655,0.9541,0.9772
URCC,tier4,4,-27.1,-5.7,0.9644,0.9470,0.9768
FNG,tier4,6,-20.4,-5.9,0.9637,0.9394,0.9942
Combate Americas,tier4,8,-17.9,-6.3,0.9612,0.9301,1.0049
Cage Titans FC,tier4,6,-22.1,-6.3,0.9607,0.9353,0.9888
EFC,tier4,12,-14.3,-6.4,0.9607,0.9226,0.9986
Top FC,tier4,4,-30.2,-6.4,0.9605,0.9489,0.9713
PXC,tier4,12,-15.9,-7.1,0.9562,0.9396,0.9736
CN,tier4,6,-28.5,-8.2,0.9499,0.9362,0.9631
ONE Championship,tier2_5,9,-23.1,-8.7,0.9467,0.9008,1.0006
WXC,tier4,5,-37.1,-9.3,0.9431,0.9371,0.9496
CES MMA,tier4,19,-18.6,-10.4,0.9367,0.9090,0.9715
