fmId,name,dwcsDate,pitRegionalElo,priorBouts,ageAtDwcs,reachedTop15
152243,Mitchell Sipe,2018-07-31,1576.8,4,22.3,0
136169,Shawn Teed,2018-07-31,1564.5,6,26.5,0
167144,Juan Adams,2018-07-31,1555.0,3,26.5,0
144362,Roosevelt Roberts,2018-07-31,1588.9,5,24.5,0
86864,Garrett Gross,2018-07-31,1504.2,2,30.0,0
95136,Justin Sumter,2018-07-31,1573.3,7,28.7,0
141872,Ian Heinisch,2018-07-31,1628.1,11,30.0,0
57310,Jordan Griffin,2018-07-31,1610.2,21,28.4,0
29937,Maurice Mitchell,2018-07-31,1500.0,0,31.1,0
128472,Bobby Moffett,2018-08-07,1618.3,15,28.2,0
166892,Jacob Kilburn,2018-08-07,1569.4,7,23.1,0
78225,Joseph Lowry,2018-08-07,1620.5,8,,0
91072,Devonte Smith,2018-08-07,1592.1,8,25.0,0
177155,Tebaris Gordon,2018-08-07,1557.6,3,,0
87639,Dennis Bryant,2018-08-07,1556.6,6,,0
114327,Rogerio Bontorin,2018-08-10,1640.6,14,26.3,0
112356,Gustavo Gabriel Silva,2018-08-10,1500.0,0,,0
135318,Antonio Arroyo,2018-08-10,1566.0,9,29.1,0
78839,Diego Henrique da Silva,2018-08-10,1525.2,1,32.0,0
89398,Augusto Sakai,2018-08-10,1616.3,12,27.3,0
165492,Marcos Conrado Jr.,2018-08-10,1584.7,5,36.4,0
79036,Maiara Amanajas dos Santos,2018-08-10,1579.3,9,31.1,0
159046,Sarah Frota,2018-08-10,1588.3,5,31.3,0
89783,Allan Nascimento,2018-08-11,1645.4,21,26.9,0
132187,Raulian Paiva,2018-08-11,1669.5,18,22.8,0
134658,Johnny Walker,2018-08-11,1606.4,16,,0
136143,Henrique da Silva,2018-08-11,1604.6,18,,0
140926,Bruno Assis,2018-08-11,1579.0,10,,0
83938,Andre Muniz,2018-08-11,1629.1,20,,0
150708,Estefani Almeida,2018-08-11,1574.4,8,29.8,0
120000,Taila Santos,2018-08-11,1654.2,14,25.1,0
151580,Vinicius Moreira,2018-08-11,1583.2,8,29.4,0
103170,John Allan,2018-08-11,1505.0,2,25.5,0
112678,Tim Caron,2018-06-26,1599.8,10,30.9,0
135841,Brandon Davis,2017-08-01,1500.0,0,27.2,0
88873,Anthony Hernandez,2018-06-19,1594.3,6,,1
145021,Marina Rodriguez,2018-08-11,1546.2,2,31.3,0
72443,Jordan Williams,2018-06-26,1569.6,9,27.7,0
136394,Yorgan De Castro,2019-06-18,1571.9,4,31.5,0
193358,Alton Meeks,2019-06-18,1500.0,0,25.2,0
79414,Bill Algeo,2019-06-18,1614.4,15,30.0,0
44424,Brendan Loughnane,2019-06-18,1632.0,19,29.5,0
162742,Punahele Soriano,2019-06-18,1588.2,5,26.6,0
137608,Kali Robbins,2019-06-18,1567.2,8,35.0,0
150294,Hannah Goldy,2019-06-18,1576.4,4,27.1,0
134710,Miles Johns,2019-06-25,1622.9,8,25.2,0
111600,Richie Santiago,2019-06-25,1587.7,8,26.7,0
157769,Michael Lombardo,2019-06-25,1587.1,9,29.2,0
85564,Kyle Daukaus,2019-06-25,1595.6,6,26.3,0
74325,Victor Reyna,2019-06-25,1591.7,13,32.9,0
163354,Miguel Baeza,2019-06-25,1594.3,6,26.8,0
173161,Hunter Azure,2019-07-09,1592.2,6,27.4,0
