sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Zozimar-de-Oliveira-Silva-Junior-80728,Zozimar de Oliveira Silva Junior,1,3,0.35,2017-07-13,beat Michel Pereira (2014-05-24)
Alexei-Ivanov-90013,Alexei Ivanov,1,1,0.35,2017-07-07,beat Askar Mozharov (2015-12-11)
Chris-Stringer-13665,Chris Stringer,1,3,0.35,2017-07-07,beat Niklas Stolze (2017-07-07)
Rob-Sinclair-17551,Rob Sinclair,1,2,0.35,2017-07-07,beat Andre Winner (2012-09-15)
Aliyar-Sarkerov-51350,Aliyar Sarkerov,1,0,0.35,2017-07-06,beat Jumabieke Tuerxun (2017-07-06)
Kieran-Joblin-56993,Kieran Joblin,1,3,0.55,2017-07-02,beat Ben Wall (2015-07-11)
Damo-Weeden-87468,Damo Weeden,1,1,0.35,2017-06-24,beat Cameron Else (2017-06-24)
Ben-Kelleher-52815,Ben Kelleher,1,5,0.55,2017-06-23,beat Chris Indich (2012-05-18)
Arthit-Hanchana-50417,Arthit Hanchana,1,3,0.35,2017-06-17,beat Zhang Lipeng (2012-06-30)
Drew-Morais-152589,Drew Morais,1,1,0.35,2017-06-17,beat Peter Barrett (2017-06-17)
Jonathan-Vallee-175967,Jonathan Vallee,1,1,0.35,2017-06-16,beat Marc-Andre Barriault (2015-10-17)
