Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Weight_Class,Gender,KD,Sig. Str. %,TD,Sub. Att,Ctrl,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,KO Rate,SUB Rate,DEC Rate,Fighting Style,Striker_Membership,Wrestler_Membership,Hybrid_Membership
7b2ab75a34942757,Arnold Allen,,"5' 8""",145,Southpaw,12,3,0,False,Featherweight,Male,0.27,0.44,1.2,4,1923,0.39,0.66,0.71,0.42,0.5,0.74,0.17,0.17,0.67,,0,0,0
c47a2d5c6f119c26,Melquizael Costa,,"5' 10""",145,Southpaw,7,3,0,False,Featherweight,Male,0.2,0.47,1.1,6,1082,0.34,0.64,0.82,0.44,0.65,0.7,0.29,0.29,0.43,,0,0,0
a7a6034e8fa43cf3,Dooho Choi,,"5' 10""",145,Orthodox,6,3,1,False,Featherweight,Male,0.5,0.56,0.7,3,929,0.48,0.89,0.86,0.51,0.75,0.87,1,0,0,,0,0,0
536f76dbf452163c,Daniel Santos,,"5' 7""",145,Orthodox,4,2,0,False,Featherweight,Male,0.33,0.4,2,0,1248,0.34,0.65,0.7,0.35,0.76,0.78,0.5,0,0.5,,0,0,0
d4d40a862922e25b,Malcolm Wellmaker,,"5' 10""",135,Switch,2,2,0,False,Bantamweight,Male,0.5,0.53,0,0,80,0.39,0.74,0.62,0.49,0.82,0,1,0,0,,0,0,0
bd1074ae3ea8a76e,Juan Diaz,,--,135,,1,0,0,False,Bantamweight,Male,0,0.52,5,1,228,0.33,1,0.54,0.48,0.67,1,0,1,0,,0,0,0
d8a13b497377e7a9,Modestas Bukauskas,,"6' 3""",205,Switch,8,5,0,False,Light Heavyweight,Male,0.08,0.43,0.15,1,861,0.36,0.8,0.92,0.41,0.69,0.68,0.38,0.13,0.5,,0,0,0
1943e071abc00467,Christian Edwards,,--,205,,0,1,0,False,,Male,0,0.51,0,0,262,0.32,0.85,0.6,0.44,0.9,0,0,0,0,,0,0,0
501823539d83d4eb,Timmy Cuamba,,"5' 9""",145,Orthodox,2,3,0,False,Bantamweight,Male,0.2,0.46,1.2,0,631,0.38,0.74,0.61,0.42,0.8,0.74,0.5,0,0.5,,0,0,0
debbb42b88fca431,Benardo Sopaj,,"5' 6""",135,Orthodox,2,1,0,False,Bantamweight,Male,0.67,0.58,2,2,532,0.56,0.64,0.88,0.45,0.73,0.88,0,0.5,0.5,,0,0,0
28e935a43da03e9a,Nikolay Veretennikov,,"6' 1""",170,Orthodox,2,4,0,False,Welterweight,Male,0,0.54,0.33,2,228,0.4,0.79,1,0.48,0.89,0.57,0.5,0,0.5,,0,0,0
b9f1b98324b5733d,Khaos Williams,,"6' 0""",170,Orthodox,7,4,0,False,Welterweight,Male,0.55,0.39,0,0,739,0.27,0.66,0.71,0.37,0.6,0.69,0.71,0,0.29,,0,0,0
d33c0cd5e5776f5c,Tuco Tokkos,,"6' 4""",205,Orthodox,1,3,0,False,Light Heavyweight,Male,0,0.42,2,2,756,0.35,0.57,0.75,0.41,0.46,0.54,0,1,0,,0,0,0
06888274ce3a59bc,Ivan Erslan,,"6' 2""",205,Orthodox,1,3,0,False,Light Heavyweight,Male,0,0.49,0.75,0,936,0.45,0.89,1,0.47,0.75,0.6,0,0,1,,0,0,0
2c3c8b4851cc2a8e,Tommy Gantt,,"5' 11""",155,Orthodox,1,0,0,False,Lightweight,Male,0,0.74,6,0,315,0.7,0.82,0,0.3,0.83,0.94,1,0,0,,0,0,0
42e2a193b15ca106,Artur Minev,,--,155,,0,1,0,False,Lightweight,Male,0,0.62,0,0,53,0.29,1,1,0.43,0.83,0,0,0,0,,0,0,0
34c605d6f3e6a96b,Ketlen Vieira,,"5' 8""",135,Orthodox,10,5,0,False,Women's Bantamweight,Female,0,0.4,1.33,8,4351,0.35,0.69,0.88,0.35,0.8,0.83,0,0.1,0.9,,0,0,0
6b78ac6d81912745,Jacqueline Cavalcanti,,"5' 8""",135,Orthodox,5,1,0,False,Women's Bantamweight,Female,0,0.47,0,0,132,0.33,0.75,0.85,0.46,0.79,0,0,0,1,,0,0,0
27647a7f19ee4c1d,Cody Brundage,,"6' 0""",185,Orthodox,6,8,1,False,Middleweight,Male,0.27,0.5,0.93,4,1327,0.45,0.64,0.84,0.43,0.64,0.78,0.67,0.17,0,,0,0,0
805498e3922258c7,Andre Petroski,,"6' 0""",185,Switch,8,5,0,False,Middleweight,Male,0.08,0.49,2.15,11,3152,0.41,0.77,0.77,0.44,0.82,0.73,0.13,0.25,0.63,,0,0,0
cb24bdec6e66509c,Alice Ardelean,,"5' 3""",115,Orthodox,3,2,0,False,Women's Strawweight,Female,0,0.46,1,1,713,0.4,0.7,0.81,0.46,0.63,0.67,0,0.33,0.67,,0,0,0
518e7e5fba746444,Polyana Viana,,"5' 5""",115,Orthodox,4,8,0,False,Women's Strawweight,Female,0.08,0.41,0.33,9,399,0.27,0.69,0.92,0.37,0.68,0.87,0.25,0.75,0,,0,0,0
b83fed09d7555100,Daniel Barez,,"5' 6""",125,Orthodox,1,3,0,False,Flyweight,Male,0.5,0.48,0.5,0,146,0.37,0.85,0.86,0.47,0.75,0.6,0,0,1,,0,0,0
7b5a6833c40aa5f4,Luis Gurule,,"5' 5""",125,Orthodox,1,3,0,False,Flyweight,Male,0,0.41,0.75,1,385,0.37,0.52,0.82,0.4,0.63,0.57,0,0,1,,0,0,0
fcfcb80e9fcfff5a,Shauna Bannon,,"5' 5""",115,Switch,2,3,0,False,Women's Strawweight,Female,0,0.45,0,2,244,0.35,0.56,0.6,0.43,0.6,0.82,0,0.5,0.5,,0,0,0
c93e341dc99799ec,Nicolle Caliari,,"5' 3""",125,Orthodox,1,2,0,False,Women's Flyweight,Female,0,0.39,2.67,1,832,0.33,0.54,0.8,0.36,0.7,0.73,0,1,0,,0,0,0
54c960e53549d612,Khamzat Chimaev,,"6' 2""",185,Orthodox,9,1,0,False,Middleweight,Male,0.2,0.54,3.5,9,3347,0.51,0.56,0.97,0.44,0.81,0.78,0.22,0.44,0.33,,0,0,0
4a637c0f4e711aa4,Sean Strickland,,"6' 1""",185,Orthodox,18,7,0,False,Middleweight,Male,0.28,0.43,0.72,4,2032,0.39,0.66,0.78,0.41,0.67,0.61,0.28,0.06,0.67,,0,0,0
