organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
BSB,tier4,0.35,true,6,BSB 3 - Bourbon Street Brawl 3
KP,tier4,0.35,true,6,KP - Kickass Productions
COT,tier4,0.35,true,6,COT 1 - Battle on the Bay
SnA,tier4,0.35,true,6,SnA 23 - Shock n Awe 23
LOP,tier4,0.35,true,6,LOP - Chaos at the Casino 4
Draka,tier4,0.35,true,6,Draka 11 - Governor's Cup 2012
Juiz de Fora,tier4,0.35,true,6,Juiz de Fora - Fight 4
RMBB,tier4,0.35,true,6,RMBB - Caged Vengeance
UMAC,tier4,0.35,true,6,UMAC - Ultimate Martial Arts Combat
KFN,tier4,0.35,true,6,KFN - Karma Fight Nights
AG,tier4,0.35,true,6,AG - Extreme Beat Down
DCMMAS,tier4,0.35,true,6,DCMMAS - Duke City MMA Series 1
SCA,tier4,0.35,true,6,SCA - Duke City Bike and Brawl 2
Victory Fighting League,tier4,0.35,true,6,Victory Fighting League - Clash of the Champions
MMAA,tier4,0.35,true,6,MMAA - MMAA Arena 3
Ice Cage,tier4,0.35,true,6,Ice Cage 7 - Santalahti vs. Fialho
Fight Me MMA,tier4,0.35,true,6,Fight Me MMA - Trujillo vs. Gwaltney
WSOF Canada,tier2_5,0.68,false,6,WSOF Canada 2 - Loiseau vs. Lewis
SRP,tier4,0.35,true,6,SRP - Square Ring Promotions
Arena Rumble,tier4,0.35,true,6,Arena Rumble - Horn vs. Guida
Union of Veterans of Sport,tier4,0.35,true,6,Union of Veterans of Sport - Cup of Champions
Astra,tier4,0.35,true,6,Astra - Yoshida's Farewell
GPG,tier4,0.35,true,6,GPG 22 - Legends and Rising Stars
MMAAD,tier4,0.35,true,6,MMAAD - MMA Against Dengue
New League Fights,tier4,0.35,true,6,New League Fights 9 - St. Valentine's Day Massacre
FFL,tier4,0.35,true,6,FFL 9 - Northern Nightmare
GCMMA,tier4,0.35,true,6,GCMMA - Gulf Coast MMA 19
ECF,tier4,0.35,true,6,ECF - Beatdown At The Fairgrounds 5
MBP,tier4,0.35,true,6,MBP - Sun City Battle 2
Nashe Delo,tier4,0.35,true,6,Nashe Delo - Oliveira vs. Grozin
Maxx FC,tier4,0.35,true,6,Maxx FC 4 - Maxximo Fighting Championship 4: Fighting Fathers
UFO,tier4,0.35,true,6,UFO - Legend
GP,tier4,0.35,true,6,GP - Night of the Gladiators 7
IFN,tier4,0.35,true,6,IFN - Inevitable Fight Night
Yarennoka,tier4,0.35,true,6,Yarennoka - New Years Eve 2007
FHB,tier4,0.35,true,6,FHB - Full Heroes Battle 2
CWC,tier4,0.35,true,6,CWC - Operation Fight Night
SE,tier4,0.35,true,6,SE - Vale Tudo
HDNF,tier4,0.35,true,6,HDNF 1 - HDNet Fights
VFL,tier4,0.35,true,6,VFL 34 - The Beginning
Brazil Open,tier4,0.35,true,6,Brazil Open - '97
Iroquois,tier4,0.35,true,6,Iroquois - MMA Championships 5
Called Out MMA,tier4,0.35,true,6,Called Out MMA - Called Out MMA 2
Midwest Championship Fighting,tier4,0.35,true,6,Midwest Championship Fighting - Resurrection
PRW,tier4,0.35,true,6,PRW - Power Ring Warriors
G & S,tier4,0.35,true,6,G & S 5 - Grapple & Strike 5
WITY,tier4,0.35,true,6,WITY - War in the Yard
MSF,tier4,0.35,true,6,MSF - Night of Thunder
Rings Australia,tier4,0.35,true,6,Rings Australia - Free Fight Battle
QCU,tier4,0.35,true,6,QCU 2 - Quad City Ultimate 2
Caged Combat,tier4,0.35,true,6,Caged Combat 1 - Australian Ultimate Fighting
IVTC,tier4,0.35,true,6,IVTC 3 - Iowa Vale Tudo Championships 3
PFL,tier2_5,0.68,false,5,PFL - Premier Fight League 10
Big Shot Fight,tier4,0.35,true,5,Big Shot Fight 2 - Big Shot 2: Florianopolis vs. Curitiba
HF,tier4,0.35,true,5,HF - Hard Fight
FDAM,tier4,0.35,true,5,FDAM - Fusao de Artes Marciais 4
Beatdown Promotions,tier4,0.35,true,5,Beatdown Promotions 6 - Nicoll vs. Kitano
Legion Fighting Championship,tier4,0.35,true,5,Legion Fighting Championship - Universal Battle Among Professional
FHC,tier4,0.35,true,5,FHC 3 - Fight Hard Championship 3
CageSport,tier4,0.35,true,5,CageSport 48 - Erosa vs. Nuro
NS,tier4,0.35,true,5,NS - New Stream
Bellator London,tier2_5,0.68,false,5,Bellator London - MVP vs. Melillo
PFN,tier4,0.35,true,5,PFN - Phoenix Fight Night 27
Bellator Milan,tier2_5,0.68,false,5,Bellator Milan - Edwards vs. van Steenis
PMMAC,tier4,0.35,true,5,PMMAC - Premier MMA Championship 3
Fight King,tier4,0.35,true,5,Fight King - Xindu Ultimate Fight League
HXMMA,tier4,0.35,true,5,HXMMA 6 - Hexagone MMA 6
OR,tier4,0.35,true,5,OR 13 - Obracun Ringu 13
HD MMA,tier4,0.35,true,5,HD MMA 15 - McKenzie vs. Huskic
Bayou FC,tier4,0.35,true,5,Bayou FC 38 - Fightville 4
KLF,tier4,0.35,true,5,KLF - Kunlun Fight 95
Professional Combat Sambo,tier4,0.35,true,5,Professional Combat Sambo - Tajikistan vs. Belarus
Curitiba Top Fight,tier4,0.35,true,5,Curitiba Top Fight 11 - Girls' Night
Gold Fight,tier4,0.35,true,5,Gold Fight 9 - Gabriel vs. Escurr
Extreme Beatdown,tier4,0.35,true,5,Extreme Beatdown - Beatdown 20
WBK,tier4,0.35,true,5,WBK - WBK 3: Day 2
Coalizao Fight,tier4,0.35,true,5,Coalizao Fight 4 - Mondragon vs. Gallotti
North-West Power Alliance,tier4,0.35,true,5,North-West Power Alliance - Storm on the Neva
CA Fight Syndicate,tier4,0.35,true,5,CA Fight Syndicate - Rivalry
X-1 World Events,tier4,0.35,true,5,X-1 World Events 54 - Champions 4: Defenders of Hawaii
GTC,tier4,0.35,true,5,GTC 03 - Golden Team Championship 3
Sparta Championship Fighting,tier4,0.35,true,5,Sparta Championship Fighting - Sparta CF 1
WKN,tier4,0.35,true,5,WKN - Valhalla: Battle of the Vikings
Innferno,tier4,0.35,true,5,Innferno 5 - Innferno Fighting Championship 5
EMC,tier4,0.35,true,5,EMC 5 - Elite MMA Championship 5
SAH,tier4,0.35,true,5,SAH 14 - Strength And Honour 14
Bison Kombat,tier4,0.35,true,5,Bison Kombat 1 - Almeida vs. Reborn
Slamm,tier4,0.35,true,5,Slamm 1 - Garcia vs. Lamarche
Fighting Spirit MMA,tier4,0.35,true,5,Fighting Spirit MMA - Under Fire
FMD,tier4,0.35,true,5,FMD - Full Metal Dojo 16: Big Trouble in Little Bangkok
HFR,tier4,0.35,true,5,HFR 3 - High Fight Rock 3
CCMMA,tier4,0.35,true,5,CCMMA 1 - City Cage MMA 1
GLFC,tier4,0.35,true,5,GLFC 22 - Global Legion FC 22
GCF Challenge,tier4,0.35,true,5,GCF Challenge - Back in the Fight 4
RDSC,tier4,0.35,true,5,RDSC - Rei da Selva Combat 12
SA,tier4,0.35,true,5,SA - Superfight Australia 13
AMC Fight Nights,tier4,0.35,true,5,AMC Fight Nights 105 - Mineev vs. Ismailov 2
XC,tier4,0.35,true,5,XC - Xtreme Chaos 2
BCP,tier4,0.35,true,5,BCP - Bush Cree Promotions
Iron Tiger Fight Series / Alliance MMA,tier4,0.35,true,5,Iron Tiger Fight Series / Alliance MMA - IT Fight Series 79
Real Fights,tier4,0.35,true,5,Real Fights 7 - Apocalypse Night
PRVT,tier4,0.35,true,5,PRVT - Cascavel Top Fight 2
Cageside Promotions,tier4,0.35,true,5,Cageside Promotions - Kansas City Fighting Alliance 14
SFF,tier4,0.35,true,5,SFF - Sao Francisco Fight 6
PPC,tier4,0.35,true,5,PPC 7 - Battle of Univa 2
SOFC,tier4,0.35,true,5,SOFC - Strike Off 4
Rumble Time Promotions,tier4,0.35,true,5,Rumble Time Promotions - Destruction
TTP,tier4,0.35,true,5,TTP - Tommy Tran Promotions
Maverick MMA,tier4,0.35,true,5,Maverick MMA 6 - Birchler vs. Hamill
Pain Pit Fight Night,tier4,0.35,true,5,Pain Pit Fight Night 15 - Renegade
WMMAA,tier4,0.35,true,5,WMMAA - European MMA Championships - Finals
KOF,tier4,0.35,true,5,KOF - The Beginning of Legend
Art of War,tier4,0.35,true,5,Art of War - Hero List: Dragon Transformation
Rings of Dreams,tier4,0.35,true,5,Rings of Dreams - Fight Nght 17
BOTB,tier4,0.35,true,5,BOTB - Best of the Best
Samurai Pro Sports,tier4,0.35,true,5,Samurai Pro Sports - Samurai MMA Pro 4
ACE,tier4,0.35,true,5,ACE - Alaska Combat Entertainment
SportFight,tier4,0.35,true,5,SportFight - Brawl at the Barn
RPC,tier4,0.35,true,5,RPC 9 - Collision
A&A Fight Time Promotions,tier4,0.35,true,5,A&A Fight Time Promotions - A Night of Explosions
BTF,tier4,0.35,true,5,BTF - Baixada Top Fight 5
ROTK,tier4,0.35,true,5,ROTK - Rumble of the Kings 4
XRW,tier4,0.35,true,5,XRW - Xtreme Ring Wars 2
Sparta MMA,tier4,0.35,true,5,Sparta MMA 7 - Let's Do This
Knockout Entertainment,tier4,0.35,true,5,Knockout Entertainment - MMA: The Reckoning
Bear River FC,tier4,0.35,true,5,Bear River FC - HFC 1: Hard Fought Championships 1
White Rex,tier4,0.35,true,5,White Rex - Tana Delle Tigri 1
Gladiator Promotions,tier4,0.35,true,5,Gladiator Promotions - Heat Wave 2
EFA,tier4,0.35,true,5,EFA - ExpoFight Amapa
GOTC MMA,tier4,0.35,true,5,GOTC MMA 21 - Holt vs. Pope
K,tier4,0.35,true,5,K - GRACE 1
UT,tier4,0.35,true,5,UT - Ultimate Throwdown
XCage,tier4,0.35,true,5,XCage 9 / PLMMA 65 - Torun
Shooto Belgium,tier3,0.55,false,5,Shooto Belgium - Running Up Tournament
TW,tier4,0.35,true,5,TW - The Warriors
ProFC Grand Prix Global,tier4,0.35,true,5,ProFC Grand Prix Global - Russia I
DDG,tier4,0.35,true,5,DDG - Desafio de Gigantes
Pro MMA Challenge,tier4,0.35,true,5,Pro MMA Challenge 1 - Drwal vs. Heleno
Gladiator FC,tier4,0.35,true,5,Gladiator FC - Day 2
Battlequest,tier4,0.35,true,5,Battlequest 8 - Battlequest 8
R2F,tier4,0.35,true,5,R2F - Casino Fight Night 3
World Best Fighter,tier4,0.35,true,5,World Best Fighter - USA vs. Asia
Cagemasters,tier4,0.35,true,5,Cagemasters - Gifford vs. Lindsey 2
BCF,tier4,0.35,true,5,BCF 3 - Battle on the Beach
AON,tier4,0.35,true,5,AON - All or Nothing 6
KO,tier4,0.35,true,5,KO - Arena 4
Euro FC,tier4,0.35,true,5,Euro FC 1 - The New Era
MTC,tier4,0.35,true,5,MTC - In the Beginning
HRP,tier4,0.35,true,5,HRP - Fight Night
UN,tier4,0.35,true,5,UN 1 - Ultimate Nokaut 1
SO,tier4,0.35,true,5,SO - Seconds Out
War Gods,tier4,0.35,true,5,War Gods - War Gods 5
Cage Gladiators,tier4,0.35,true,5,Cage Gladiators 2 - The Next Generation
Raw Power,tier4,0.35,true,5,Raw Power - MMA
Pro Battle MMA,tier4,0.35,true,5,Pro Battle MMA - Immediate Impact
IMA,tier4,0.35,true,5,IMA - Mix Fight
FNE,tier4,0.35,true,5,FNE - Round 16: Combat at the Cabaret
MMA Fight Pit,tier4,0.35,true,5,MMA Fight Pit - Genesis
Moon Management,tier4,0.35,true,5,Moon Management - Ubersmash 4
Almogavers,tier4,0.35,true,5,Almogavers - The Chance 4
XVT,tier4,0.35,true,5,XVT 5 - Franca vs. Kheder
Impact Fighting Championship,tier4,0.35,true,5,Impact Fighting Championship - Armageddon
CDL,tier4,0.35,true,5,CDL - Clube da Luta 1
Perm Regional MMA Federation,tier4,0.35,true,5,Perm Regional MMA Federation - MMA Professional Cup
Bushido Challenge,tier4,0.35,true,5,Bushido Challenge 2 - A New Dawn
Bushido,tier4,0.35,true,5,Bushido 1 - Bushido 1
GOF,tier4,0.35,true,5,GOF - Goiania Open Fight 1
GOW,tier4,0.35,true,5,GOW 3 - Into The Storm
KOTR,tier4,0.35,true,5,KOTR - King of the Rockies 1
5150 Combat League,tier4,0.35,true,5,5150 Combat League - Seasons Beatings
Armageddon,tier4,0.35,true,5,Armageddon - Armageddon 2
DD,tier4,0.35,true,5,DD 2 - Downtown Destruction 2
UK,tier4,0.35,true,5,UK - Storm
BIB,tier4,0.35,true,5,BIB - Beatdown in Bakersfield
Shooto USA,tier3,0.55,false,5,Shooto USA - Warrior Spirit: Evolution
MKOTR,tier4,0.35,true,5,MKOTR 44 - Midwest King of the Ring 44
Cagefest Xtreme,tier4,0.35,true,5,Cagefest Xtreme - All In
MS,tier4,0.35,true,5,MS 1 - Midwest Shootfighting 1
Shidokan Jitsu,tier4,0.35,true,5,Shidokan Jitsu - Warriors War 1
XXX,tier4,0.35,true,5,XXX - Extreme Fighting
AAC,tier4,0.35,true,5,AAC 2 - Amsterdam Absolute Championship 2
FCB,tier4,0.35,true,5,FCB 9 - Fight Club Berlin 9
Pentagon Combat,tier4,0.35,true,5,Pentagon Combat - Pentagon Combat
RG,tier4,0.35,true,5,RG - Rochester Gladiators
Strike FC,tier4,0.35,true,5,Strike FC 3 - Noaptea Demonilor
Spartan MMA,tier4,0.35,true,4,Spartan MMA - Spartan MMA 2012
FMC,tier4,0.35,true,4,FMC 1 - Macaco vs. Galeto
Khan Fight,tier4,0.35,true,4,Khan Fight 2 - Blood for Gold
TGC,tier4,0.35,true,4,TGC - The Golden Cage 2
Counterattack-9,tier4,0.35,true,4,Counterattack-9 - K-9 International Tournament
Peak Fighting,tier4,0.35,true,4,Peak Fighting 10 - Hope vs. Connors
RXF MMA,tier4,0.35,true,4,RXF MMA 32 - Konecke vs. Negumereanu
URF,tier4,0.35,true,4,URF - Ultimate Reborn Fight 3
Main Event Sports,tier4,0.35,true,4,Main Event Sports - Main Event MMA 3
Warfare FC,tier4,0.35,true,4,Warfare FC - Warfare MMA 18
Contenders East Anglia,tier4,0.35,true,4,Contenders East Anglia - Contenders Norwich 31
Vilsao Team,tier4,0.35,true,4,Vilsao Team - Fight Club MMA 8
Full House,tier4,0.35,true,4,Full House - Battle Home 9
Probellum MMA,tier4,0.35,true,4,Probellum MMA - Dubai: Lazzez vs. Murati
JOF,tier4,0.35,true,4,JOF - Jurunense Open Fight MMA 8
Freedom Fight Night,tier4,0.35,true,4,Freedom Fight Night 3 - Team Bader vs. Team Henderson
AP,tier4,0.35,true,4,AP - Grand Prix 2013
FHMMA,tier4,0.35,true,4,FHMMA - Fight Hard MMA
MMA Xtreme,tier4,0.35,true,4,MMA Xtreme - Fists Will Fly
TWEF,tier4,0.35,true,4,TWEF - Heavy Hitters
Rocktagon MMA,tier4,0.35,true,4,Rocktagon MMA - Elite Series 6
Bellator Champions Series Belfast,tier2_5,0.68,false,4,Bellator Champions Series Belfast - Anderson vs. Moore
Amazon Fight,tier4,0.35,true,4,Amazon Fight 14 - Salinopolis
KF,tier4,0.35,true,4,KF 1 - Korea Fight 1
KA,tier4,0.35,true,4,KA 1 - Kawai Arena 1
MGL-1 Fighting Championship,tier4,0.35,true,4,MGL-1 Fighting Championship - MGL-1 FC 18
1° Round Combat,tier4,0.35,true,4,1° Round Combat - 1° Round Combat 2
TSC,tier4,0.35,true,4,TSC 6 - The Supreme Cage 6
WBG,tier4,0.35,true,4,WBG 7 - World Best Gladiators 7
FCM,tier4,0.35,true,4,FCM - Fight Club Mexico 3
Iron Man MMA,tier4,0.35,true,4,Iron Man MMA - Iron Man MMA 18
Samurai FC / PFE,tier4,0.35,true,4,Samurai FC / PFE 13 - Bushido
BGMMA,tier4,0.35,true,4,BGMMA - Battleground MMA
TFN,tier4,0.35,true,4,TFN - Tymex Boxing Night
Huya FC,tier4,0.35,true,4,Huya FC - Huya Fighting Championship 6
WW,tier4,0.35,true,4,WW 4 - Wollongong Wars 4
SFMMA,tier4,0.35,true,4,SFMMA - Superfight MMA 11
LDH Martial Arts,tier4,0.35,true,4,LDH Martial Arts - ExFight 7
FTW / KOC,tier4,0.35,true,4,FTW / KOC - Worlds Collide
UPC Unlimited,tier4,0.35,true,4,UPC Unlimited - Up & Comers 6
FirePower Promotions MMA,tier4,0.35,true,4,FirePower Promotions MMA 4 - Sudden Impact
ID MMA Promotion,tier4,0.35,true,4,ID MMA Promotion - ID MMA 8
MFE,tier4,0.35,true,4,MFE - Mix Fight Events
USFFC,tier4,0.35,true,4,USFFC 18 - Metal and Mayhem
ZFN,tier4,0.35,true,4,ZFN - Z-Fight Night 2
Samurai Fight,tier4,0.35,true,4,Samurai Fight 2 - Bonfim x Samuray
WCT,tier4,0.35,true,4,WCT 2 - Eguiluz vs. Ferreira
TKO MMA,tier4,0.35,true,4,TKO MMA - TKO Fight Night 1
AFCA / Fight Club,tier4,0.35,true,4,AFCA / Fight Club 777 - Fight Show 777
Prestige FC,tier4,0.35,true,4,Prestige FC 2 - Queen City Coronation
EFWC,tier4,0.35,true,4,EFWC - The Untamed 2
FBC,tier4,0.35,true,4,FBC  - Fight Brazil Combat
BA,tier4,0.35,true,4,BA - Baltic Arena
Minotaur,tier4,0.35,true,4,Minotaur 4 - Demolition
AK Entertainment,tier4,0.35,true,4,AK Entertainment - AK Tuesday Night Fights
HCC,tier4,0.35,true,4,HCC 13 - Haidar Capixaba Combat 13
XCFL,tier4,0.35,true,4,XCFL - Xtreme Championship Fight League 2
SteelFist Fight Night,tier4,0.35,true,4,SteelFist Fight Night - March Madness
UK-1,tier4,0.35,true,4,UK-1 - Fight Night
RMMAC,tier4,0.35,true,4,RMMAC - Rio MMA Challenge 1
Shooto Americas,tier3,0.55,false,4,Shooto Americas - Shooto Brazil 7
Havoc Fighting Championship,tier4,0.35,true,4,Havoc Fighting Championship - HFC 11
MBC,tier4,0.35,true,4,MBC - Monster Black Combat
XKL,tier4,0.35,true,4,XKL - Evolution 1
MCS,tier4,0.35,true,4,MCS - Minnesota Combat Sports
FB,tier4,0.35,true,4,FB - First Blood
AFT,tier4,0.35,true,4,AFT 4 - Adventure Fighters Tournament 4
Shinobi War,tier4,0.35,true,4,Shinobi War 9 - Winter Warfare
MMA Pro Ukraine,tier4,0.35,true,4,MMA Pro Ukraine 18 - The Way of the Unconquered 4
Katana Cagefighting,tier4,0.35,true,4,Katana Cagefighting - Conquest
SCP,tier4,0.35,true,4,SCP - South Coast Promotions
Washington Combat,tier4,0.35,true,4,Washington Combat - Battle of the Legends
Combat FC,tier4,0.35,true,4,Combat FC 3 - Grigoriou vs. Disonell
TPFP,tier4,0.35,true,4,TPFP - Premier Fight Series 4
PMMAL,tier4,0.35,true,4,PMMAL - Hungarian Fight Championship 9
NCC,tier4,0.35,true,4,NCC - Nordeste Combat Championship
Professional Fight Union,tier4,0.35,true,4,Professional Fight Union - Bukovel Free Fight Cup 8
Max Sport,tier4,0.35,true,4,Max Sport - 13.1
Triumph FC,tier4,0.35,true,4,Triumph FC 1 - Inception
OMMAF,tier4,0.35,true,4,OMMAF - Scythian Gold 2015
Zhekpe Zhek,tier4,0.35,true,4,Zhekpe Zhek - Bantamweight Grand Prix
Sochi Star Club,tier4,0.35,true,4,Sochi Star Club - Sochi Star Tournament 1
Conviction MMA,tier4,0.35,true,4,Conviction MMA 3 - Argentina vs. Peru
BKF,tier4,0.35,true,4,BKF 2 - Brazilian King Fighter 2
VHTHFF,tier4,0.35,true,4,VHTHFF - Stalingrad Cup
PBSC,tier4,0.35,true,4,PBSC - Pancration Black Sea Cup
Dubai FC,tier4,0.35,true,4,Dubai FC - Fight Night
FFW,tier4,0.35,true,4,FFW - Fight for Wrestling 1
SITH,tier4,0.35,true,4,SITH - Slammer in the Hammer
Magnum FC,tier4,0.35,true,4,Magnum FC 4 - Magnum Fighting Championship 4
MITC,tier4,0.35,true,4,MITC - Milano in the Cage 4
CCS,tier4,0.35,true,4,CCS - Carden Combat Sports 2
Geran Haga,tier4,0.35,true,4,Geran Haga - Blood Wars 2
Legend,tier4,0.35,true,4,Legend - Emelianenko vs. Sapp
Fury MMA,tier4,0.35,true,4,Fury MMA 7 - Bad Blood
BEP,tier4,0.35,true,4,BEP 4 - BlackEye Promotions 4
URCC Baguio,tier4,0.35,true,4,URCC Baguio 3 - Invasion
ICFO,tier4,0.35,true,4,ICFO 1 - Stockton
K.O.,tier4,0.35,true,4,K.O. - The Fight Before Christmas 1
Fightstar Promotions,tier4,0.35,true,4,Fightstar Promotions - Rage In The Cage 2
HFL,tier4,0.35,true,4,HFL - Hawaii Fight League 4
SportFight X,tier4,0.35,true,4,SportFight X 3 - Undefeated
OMMA,tier4,0.35,true,4,OMMA - Oktagon MMA 1
TAC,tier4,0.35,true,4,TAC - Top Alliance Combat 3
HP,tier4,0.35,true,4,HP - The Patriot Act
Rings Russia,tier4,0.35,true,4,Rings Russia - Russia vs. The World
National Fight Alliance,tier4,0.35,true,4,National Fight Alliance - Valley Invasion 2
MAC,tier4,0.35,true,4,MAC 3 - Espartano vs. Garotao
CSFU,tier4,0.35,true,4,CSFU - Champions League
GFN,tier4,0.35,true,4,GFN - Gentlemen Fight Night
WAFF,tier4,0.35,true,4,WAFF 2 - World Absolute Fight 2
Rogue Fights,tier4,0.35,true,4,Rogue Fights 26 - Fight Night 3
Ring XF,tier4,0.35,true,4,Ring XF 3 - Double Battle
3RT,tier4,0.35,true,4,3RT - 3 River Throwdown 4
Peru FC,tier4,0.35,true,4,Peru FC - Peru Fighting Championship 18
SFE,tier4,0.35,true,4,SFE 2 - Show Fighting Enterprise 2
Fight Night at the Island,tier4,0.35,true,4,Fight Night at the Island - Saunders vs. Volkmann
CM,tier4,0.35,true,4,CM - Garra Fight
Nitrix,tier4,0.35,true,4,Nitrix - Show Fight 2
PIP,tier4,0.35,true,4,PIP - East vs. West
CDMMA,tier4,0.35,true,4,CDMMA - Complete Devastation 2
Thunder & Lightning,tier4,0.35,true,4,Thunder & Lightning - Pro-Am MMA
DesertBrawl,tier4,0.35,true,4,DesertBrawl 19 - Oregon vs. Texas
FNITC,tier4,0.35,true,4,FNITC - Fight Night in the Cage 1
UEP,tier4,0.35,true,4,UEP - New Year Knockout
VEF,tier4,0.35,true,4,VEF 1 - Vitoria Extreme Fighting 1
IFS,tier4,0.35,true,4,IFS 13 - Ultimate Conquest
WSOF-GC,tier2_5,0.68,false,4,WSOF-GC 2 - World Series of Fighting Global Championship: Japan 1
MCVT,tier4,0.35,true,4,MCVT - Mega Combat Vale Tudo
LGIO MMA,tier4,0.35,true,4,LGIO MMA 1 - MacDonald vs. Horwich
MFW,tier4,0.35,true,4,MFW - Made For War 1
FFFC,tier4,0.35,true,4,FFFC  - Full Force Fighting 1
Team Lakay Wushu Xanda,tier4,0.35,true,4,Team Lakay Wushu Xanda - MMA Eliminations 5: Machines
WXCF,tier4,0.35,true,4,WXCF 7 - Wisconsin Xtreme Cage Fighting 7
GEOC,tier4,0.35,true,4,GEOC 4 - Gracie Evolution of Combat 4
Ultimate Fight,tier4,0.35,true,4,Ultimate Fight - Cacak
UMMAXX,tier4,0.35,true,4,UMMAXX 7 - Out of the Cage
King of Champions,tier4,0.35,true,4,King of Champions - Rage
Rocky Mountain Nationals,tier4,0.35,true,4,Rocky Mountain Nationals - Demolition
Bushido Europe,tier4,0.35,true,4,Bushido Europe - Rotterdam Rumble
Heroes,tier4,0.35,true,4,Heroes - Heroes 1
Real,tier4,0.35,true,4,Real - Real Fight MMA Championship 1
BS,tier4,0.35,true,4,BS - Baltic Storm 4
Titov Boxing Promotion,tier4,0.35,true,4,Titov Boxing Promotion - Shtyrkov vs. Silva
Champion Promotions,tier4,0.35,true,4,Champion Promotions - Clash of the Gladiators 2
Call To Arms,tier4,0.35,true,4,Call To Arms - Call To Arms 1
FMF,tier4,0.35,true,4,FMF - Full Moon Fighting
Kumite,tier4,0.35,true,4,Kumite 2 - Kumite
Ichigeki,tier4,0.35,true,4,Ichigeki - Brazil 2006
IMMA,tier4,0.35,true,4,IMMA 1 - Ironman MMA
FAL,tier4,0.35,true,4,FAL 3 - The Return
Kam Lung,tier4,0.35,true,4,Kam Lung - Only the Strongest Survive 5
EP,tier4,0.35,true,4,EP - XXXtreme Impact
ROMAN,tier4,0.35,true,4,ROMAN - Roots of Martial Arts Network 2
PCL,tier4,0.35,true,4,PCL - Cage Madness
Northeast MMA,tier4,0.35,true,4,Northeast MMA - Cage Fight 6
UFS,tier4,0.35,true,4,UFS - Universidade Fight Show 1
Shooto Sweden,tier3,0.55,false,4,Shooto Sweden - Second Impact
YTYT,tier4,0.35,true,4,YTYT - Ground Um and Pound Um
Greensparks,tier4,0.35,true,4,Greensparks - Full Contact Fighting 5
XF,tier4,0.35,true,4,XF - X-Treme Fight 1
LOTR,tier4,0.35,true,4,LOTR - Schilt vs. Guelmino
IMAC,tier4,0.35,true,4,IMAC 3 - Indiana Martial Arts Challenge 3
FNF,tier4,0.35,true,4,FNF 2 - Fight Night Freiburg 2
LI,tier4,0.35,true,4,LI - Lionheart Invitational
FSG,tier4,0.35,true,4,FSG - Coliseum Carnage
Raze MMA,tier4,0.35,true,4,Raze MMA - Fight Night
LIP,tier4,0.35,true,4,LIP 1 - Lockdown in Paradise 1
Bullet Fight Gear,tier4,0.35,true,4,Bullet Fight Gear - Battle of Rome 8
WOTNM,tier4,0.35,true,4,WOTNM - Warriors of the New Millennium 1
Quixada Open Vale Tudo,tier4,0.35,true,4,Quixada Open Vale Tudo - Grand Prix
Colosseum,tier4,0.35,true,4,Colosseum - Colosseum 3
HHFN,tier4,0.35,true,4,HHFN - Hammer House Fight Night
Daidojuku,tier4,0.35,true,4,Daidojuku - WARS 4
C2K,tier4,0.35,true,4,C2K - Colosseum 2000
PSDA,tier4,0.35,true,4,PSDA - PSDA
Coliseum,tier4,0.35,true,4,Coliseum - Coliseum 2
SHB,tier4,0.35,true,4,SHB 4 - Sokol Hall Brawl 4
SIUF,tier4,0.35,true,4,SIUF 2 - Southern Iowa Ultimate Fighting 2
LAW,tier4,0.35,true,3,LAW 1 - Heatwave
CPMMAF,tier4,0.35,true,3,CPMMAF - Champion Fights
TG,tier4,0.35,true,3,TG - The Gladiators 2
MNA MMA Circuit,tier4,0.35,true,3,MNA MMA Circuit 2 - MNA MMA Circuit 2016
ACA YE,tier4,0.35,true,3,ACA YE 27 - ACA Young Eagles 27
Wieczor Walk,tier4,0.35,true,3,Wieczor Walk 6 - Wieczor Walk
TSE,tier4,0.35,true,3,TSE - Rocky Mountain Rubicon 2
Kamikaze Fight League,tier4,0.35,true,3,Kamikaze Fight League - Kamikaze Fight League 2
Shuriken MMA,tier4,0.35,true,3,Shuriken MMA - Best of the Best
GEX,tier4,0.35,true,3,GEX - Old Jack's Fight Night
Jonathan Ogden Foundation,tier4,0.35,true,3,Jonathan Ogden Foundation - 18th Annual 'An Evening Ringside'
Azerbaijan MMA Federation,tier4,0.35,true,3,Azerbaijan MMA Federation - Azerbaijan vs. Iran
MMA Star in the Ring,tier4,0.35,true,3,MMA Star in the Ring - Guseinov vs. Kalych
Dominate FC,tier4,0.35,true,3,Dominate FC - Dominate Fighting Championship
GA,tier4,0.35,true,3,GA - Gladiator Arena 4
Killacam Fight Night,tier4,0.35,true,3,Killacam Fight Night 15 - Survivor
Qualify Combat,tier4,0.35,true,3,Qualify Combat - Qualify Combat 14
CAGE,tier4,0.35,true,3,CAGE 61 - Cage MMA Finland 61
RFC Way Of The Dragon,tier4,0.35,true,3,RFC Way Of The Dragon - Championships 3
Capitol Fighting Championships,tier4,0.35,true,3,Capitol Fighting Championships - Fall Classic
Rebel Fighter,tier4,0.35,true,3,Rebel Fighter - Domination
CIS,tier4,0.35,true,3,CIS - Cup
The King of Fighters,tier4,0.35,true,3,The King of Fighters 1 - KOF 1
