ourFighterId,fullName,sherdogId,sherdogUrl,matchConfidence,matchMethod,verified,notes
b2e2aeb12a7fca98,Kevin Jackson,Kevin-Jackson-172,https://www.sherdog.com/fighter/Kevin-Jackson-172,81,verified,true,"overlap 4/4, name=true, wt=false, exactName=1/1"
50719a1c09cb0cda,Joe Charles,Joe-Charles-46,https://www.sherdog.com/fighter/Joe-Charles-46,96,verified,true,"overlap 4/4, name=true, wt=true, exactName=1/1"
901b31354c4a6885,Mark Kerr,Mark-Kerr-71,https://www.sherdog.com/fighter/Mark-Kerr-71,96,verified,true,"overlap 4/4, name=true, wt=true, exactName=1/2"
74958a380db9fbe8,Dwayne Cason,Dwayne-Cason-177,https://www.sherdog.com/fighter/Dwayne-Cason-177,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
41f84b2aa711eedb,Dave Beneteau,Dave-Beneteau-56,https://www.sherdog.com/fighter/Dave-Beneteau-56,110,verified,true,"overlap 5/5, name=true, wt=true, exactName=1/1"
6cd9ac94ac3c4d4f,Carlos Barreto,Carlos-Barreto-180,https://www.sherdog.com/fighter/Carlos-Barreto-180,54,verified,true,"overlap 1/1, name=true, wt=true, exactName=1/3"
5860f0d9901e35a1,Greg Stott,Greg-Stott-179,https://www.sherdog.com/fighter/Greg-Stott-179,54,verified,true,"overlap 1/1, name=true, wt=true, exactName=1/1"
17e0fc49d3874816,Alex Hunter,Alex-Hunter-170,https://www.sherdog.com/fighter/Alex-Hunter-170,68,verified,true,"overlap 2/2, name=true, wt=true, exactName=1/2"
01709e122602b35d,Dan Bobish,Dan-Bobish-174,https://www.sherdog.com/fighter/Dan-Bobish-174,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
136c810df4337cff,Brian Johnston,Brian-Johnston-137,https://www.sherdog.com/fighter/Brian-Johnston-137,110,verified,true,"overlap 6/6, name=true, wt=true, exactName=2/2"
d841c91f418b2e1a,Moti Horenstein,Moti-Horenstein-139,https://www.sherdog.com/fighter/Moti-Horenstein-139,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
15136eeb48ba2b62,Joe Moreira,Joe-Moreira-126,https://www.sherdog.com/fighter/Joe-Moreira-126,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/2"
019227815d4a6489,Sam Fulton,Sam-Fulton-141,https://www.sherdog.com/fighter/Sam-Fulton-141,68,verified,true,"overlap 2/2, name=true, wt=true, exactName=1/1"
379b1d7457d2ddb8,Steven Graham,Steven-Graham-164,https://www.sherdog.com/fighter/Steven-Graham-164,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=2/2"
5f3010b65835aef7,Dmitri Stepanov,Dmitri-Stepanov-165,https://www.sherdog.com/fighter/Dmitri-Stepanov-165,54,verified,true,"overlap 1/1, name=true, wt=true, exactName=1/2"
5152489b5c9b0885,Jack Nilson,Jack-Nilson-161,https://www.sherdog.com/fighter/Jack-Nilson-161,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
d7d1d9d5c5f554aa,Scott Ferrozzo,Scott-Ferrozzo-128,https://www.sherdog.com/fighter/Scott-Ferrozzo-128,95,verified,true,"overlap 5/5, name=true, wt=false, exactName=1/1"
6a226162ef1efb05,Nick Sanzo,Nick-Sanzo-148,https://www.sherdog.com/fighter/Nick-Sanzo-148,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
2619516bd38d3e15,Eric Martin,Eric-Martin-151,https://www.sherdog.com/fighter/Eric-Martin-151,54,verified,true,"overlap 1/1, name=true, wt=true, exactName=1/12"
9e36933ae52683b9,Don Frye,Don-Frye-124,https://www.sherdog.com/fighter/Don-Frye-124,95,verified,true,"overlap 8/8, name=true, wt=false, exactName=1/2"
50318e6854ddc376,Steve Nelmark,Steve-Nelmark-147,https://www.sherdog.com/fighter/Steve-Nelmark-147,67,verified,true,"overlap 3/3, name=true, wt=false, exactName=1/1"
cf72fdfece028678,Mark Hall,Mark-Hall-118,https://www.sherdog.com/fighter/Mark-Hall-118,95,verified,true,"overlap 5/6, name=true, wt=false, exactName=3/5"
7fb6023072170fc1,Paul Varelans,Paul-Varelans-112,https://www.sherdog.com/fighter/Paul-Varelans-112,95,verified,true,"overlap 8/8, name=true, wt=false, exactName=1/1"
2f79b0c943753b28,Cal Worsham,Cal-Worsham-113,https://www.sherdog.com/fighter/Cal-Worsham-113,67,verified,true,"overlap 3/3, name=true, wt=false, exactName=1/1"
7a8a943823cfd649,Tai Bowden,Tai-Bowden-6950,https://www.sherdog.com/fighter/Tai-Bowden-6950,53,verified,true,"overlap 2/2, name=true, wt=false, exactName=1/1"
08939d3a01e77524,Marcus Bossett,Marcus-Bossett-54,https://www.sherdog.com/fighter/Marcus-Bossett-54,53,verified,true,"overlap 2/3, name=true, wt=false, exactName=1/1"
f57a233ec7585dd6,Sam Adkins,Sam-Adkins-122,https://www.sherdog.com/fighter/Sam-Adkins-122,67,verified,true,"overlap 3/4, name=true, wt=false, exactName=1/1"
