canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
cb2feebb0b84e0c9,BJ Penn,United States,https://commons.wikimedia.org/wiki/Special:FilePath/US%20Army%2051883%20Ultimate%20Fighting%20Champion%20motivates%20wounded%20warriors%20cropped.jpg?width=400,Wikimedia Commons (verify per-file),bj-penn
5df8e0db9dcc365c,Talita Bernardo,Brazil,,,talita-bernardo
10224c81cacb17c3,Elias Theodorou,Canada,https://commons.wikimedia.org/wiki/Special:FilePath/Elias%20Theodorou%20at%20UFC%20231.jpg?width=400,Wikimedia Commons (verify per-file),elias-theodorou
11231ad808bf72f9,Arjan Bhullar,Canada,,,arjan-singh-bhullar
24981b3a986c70db,Mitch Gagnon,Canada,,,mitch-gagnon
89a685298c552ac7,Dmitrii Smoliakov,Russia,,,dmitrii-smoliakov
fc1af0eefb2c234c,John Lineker,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/John%20Lineker%20Interview%202019.png?width=400,Wikimedia Commons (verify per-file),john-lineker
23d4b1c64fc89930,Jason Gonzalez,United States,,,jason-gonzalez
3219dec99ae9e6bb,Marcelo Golm,Brazil,,,marcelo-golm
7932642b153f21f8,Sultan Aliev,Russia,,,sultan-aliev
03cec80834c88d99,Keita Nakamura,Japan,https://commons.wikimedia.org/wiki/Special:FilePath/Keita%20Nakamura.jpg?width=400,Wikimedia Commons (verify per-file),keita-nakamura
aff972203a540f31,Wilson Reis,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/WilsonGloveWeb01.jpg?width=400,Wikimedia Commons (verify per-file),wilson-reis
7b27c5dbef7774f4,Curtis Millender,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Curtis%20Milender%20at%20UFC%20232.jpg?width=400,Wikimedia Commons (verify per-file),curtis-millender
539db004e385d9b7,David Branch,United States,,,david-branch
9435ba8191d6d97c,Jessica Aguilar,United States,,,jessica-aguilar
b88fc06f70ef8b27,Ross Pearson,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Ross%20Pearson.jpg?width=400,Wikimedia Commons (verify per-file),ross-pearson
56f8abe47583153e,Justin Willis,United States,,,justin-willis
df14605f1f55b2b0,Jesus Pinedo,Peru,,,
1e698acf16fec794,Eric Shelton,United States,,,eric-shelton
471b728a3bcbdca3,Jordan Rinaldi,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Jordan%20Rinaldi%20-%20NAGA%20Charlotte%202011.jpg?width=400,Wikimedia Commons (verify per-file),jordan-rinaldi
07970f57cc4cb11e,Tim Boetsch,United States,,,tim-boetsch
639e203fd063d230,Zak Ottow,United States,,,zak-ottow
ab9907c95da2185e,Carlo Pedersoli Jr.,United States,,,carlo-pedersoli
5793f9c3602bdea1,Cain Velasquez,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Cain%20Velasquez.jpg?width=400,Wikimedia Commons (verify per-file),cain-velasquez
37b7dde095729704,Myles Jury,United States,,,myles-jury
39e0e926a4ebf523,Austin Arnett,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Austin%20Arnett%20grapples%20Spc.%20Daun%20White.jpg?width=400,Wikimedia Commons (verify per-file),austin-arnett
1b8b8e5bcab8c270,Teruto Ishihara,Japan,,,teruto-ishihara
d5d9b67c482dad94,David Teymur,Sweden,,,david-teymur
060c96b72f13efdb,Bibulatov Magomed,Russia,,,magomed-bibulatov
cc8c0104bcad5cfe,Dustin Ortiz,United States,,,dustin-ortiz
e2b652afedcd1f5b,Dennis Bermudez,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Bermund.jpg?width=400,Wikimedia Commons (verify per-file),dennis-bermudez
