secondary_id,primary_id,secondary_name,primary_name,reason
c342e8c8e198af6a,fd67143f447281de,Patricio Pitbull,Patricio Freire,"same person (Patricio ""Pitbull"" Freire) — shared Aaron Pico fight 2026-04-11; confirmed"
544496518eeec29e,62c22d8f8fd6a0fc,Kai Kamaka III,Kai Kamaka,"same person — both map to Sherdog Kai-Kamaka-III-117585; confirmed"
