normalized_name,source,canonical_id
steven nguyen,ufc,6ff3abc1052a0921
martin buday,ufc,04c3977524fb97e0
dustin poirier,ufc,3831bcbeade5a335
daniel rodriguez,ufc,27dc95be9b98006d
patricio freire,ufc,fd67143f447281de
islam dulatov,ufc,966e46aafac530c8
marcin prachnio,ufc,837a9f78be0b2fc9
lukasz brzeski,ufc,a0989877f644f2ab
stephen thompson,ufc,c5156b7a02344aa1
calvin kattar,ufc,b015a1a954f587d1
lauren murphy,ufc,94b00343ca5505af
mitch ramirez,ufc,af8e52231b4cfce5
mike davis,ufc,c089e6624556674f
melissa martinez,ufc,e5e9129255fd285f
ilia topuria,ufc,875c9f59fc746b88
kai karafrance,ufc,f5f171343461fc38
felipe lima,ufc,e18ec46a5875684b
viviane araujo,ufc,3dc200641c5e5245
alvin hines,ufc,184b150c59c5539d
jamahal hill,ufc,fa92f349c2df714c
nikolas motta,ufc,e6bdebff94eddc25
melissa mullins,ufc,a11db5b1e98120ae
mohammed usman,ufc,36959e53237eed0a
kamaru usman,ufc,09c4ebb55e8079b1
miranda maverick,ufc,00cc7715cc0d4b51
court mcgee,ufc,a7ed9d9e59972d38
cameron smotherman,ufc,6fe6a57990709869
ange loosa,ufc,16a0eba44cd46eb9
vanessa demopoulos,ufc,f8588e91351f8a39
julianna pena,ufc,539a8690e6be156e
kayla harrison,ufc,e8904c85658949e8
ariane da silva,ufc,f1ab1276d646f580
jeka saragih,ufc,c4d39d0ecab35b23
