canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
bf39144e667faaa0,Jon Madsen,,Heavyweight,Male,4,1,0,5,"6' 0""",Orthodox,Jon-Madsen-48820,Jon Madsen
9f5cefba3b333fa0,Kris McCray,,Welterweight,Male,0,3,0,3,"6' 0""",Orthodox,Kris-McCray-39432,Kris McCray
4a2ae4eba7910810,Sean McCorkle,,Heavyweight,Male,1,2,0,3,"6' 7""",Orthodox,Sean-McCorkle-19640,Sean McCorkle
68d0494d738dfe3d,Mario Miranda,,Middleweight,Male,1,3,0,4,"6' 3""",Orthodox,Mario-Miranda-23852,Mario Miranda
79c1743e40bc61a7,Waylon Lowe,,Lightweight,Male,2,2,0,4,"5' 7""",Southpaw,Waylon-Lowe-18744,Waylon Lowe
fe61ebf98b4ac9b5,Ricardo Almeida,,Middleweight,Male,6,5,0,11,"6' 0""",Orthodox,Ricardo-Almeida-11,Ricardo Almeida
8c9249669e4c7295,Kurt Pellegrino,,Lightweight,Male,7,5,0,12,"5' 8""",Orthodox,Kurt-Pellegrino-4153,Kurt Pellegrino
dd77a096ed30451e,Rob Kimmons,,Middleweight,Male,3,4,0,7,"5' 10""",Orthodox,Rob-Kimmons-9863,Rob Kimmons
5033b45cd274332c,Todd Brown,,Light Heavyweight,Male,0,2,0,2,"5' 11""",Orthodox,Todd-Brown-21887,Todd Brown
74c19e9aa7595e68,Tom Blackledge,,Light Heavyweight,Male,0,1,0,1,--,Orthodox,Tom-Blackledge-3953,Tom Blackledge
fac7689da2e7bba2,Chris Tuchscherer,,Heavyweight,Male,1,3,0,4,"6' 2""",Orthodox,Chris-Tuchscherer-10669,Chris Tuchscherer
2799da97777a2699,Maciej Jewtuszko,,Lightweight,Male,0,1,0,1,"6' 0""",Southpaw,,Maciej Jewtuszko
f5864cf86d31a219,Antonio Banuelos,,Bantamweight,Male,0,1,0,1,"5' 5""",Orthodox,,Antonio Banuelos
0a4a41f2793fa658,Paul Kelly,,Lightweight,Male,5,4,0,9,"5' 9""",Orthodox,Paul-Kelly-14028,Paul Kelly
abfecb7fc7786da4,Paul Taylor,,Welterweight,Male,4,5,0,9,"6' 0""",Orthodox,Paul-Taylor-6326,Paul Taylor
3da958a1e818e9b1,Gabe Ruediger,,Lightweight,Male,0,3,0,3,"5' 10""",Orthodox,Gabe-Ruediger-5542,Gabe Ruediger
